short_name	publication_method	source_of_data	name	url	publication_year	m49_region	region	period	n_dates	open	license	maintained	last_updated	c14bazAAR	intchron	citations	remarks
BDA	Online database	Literature review	Base de Données Archéologique	https://bda.huma-num.fr/	1994	Northern Europe; Western Europe; Southern Europe; Western Asia; Northern Africa	Europe, North Africa & Southwest Asia	Later prehistory	7000	TRUE	Open Database License	TRUE	2024	TRUE	FALSE	@Perrin2019	
Andes14C	Online database	Literature review	ANDES 14C	https://andesc14.pl	1994	South America	Andes	Any	5800	TRUE	NA	TRUE	NA	FALSE	FALSE	@MichczynskiEtAl1995	Described in 1994; unclear when first made available online.
TAY	Online database	Literature review	Archaeological Settlements of Turkey	http://www.tayproject.org/enghome.html	1998	Western Asia	Turkey	Any	1600	TRUE	NA	TRUE	2024	FALSE	FALSE	@TanindiErdogu2005	
CARD	Online database	Literature review	Canadian Archaeological Radiocarbon Database	https://www.canadianarchaeology.ca/	1999	Northern America	North America	Any	171500	TRUE	NA	TRUE	2022	FALSE	FALSE	@GajewskiEtAl2011; @KellyEtAl2022	Access to some data is restricted. Incorporates AustArch and Radiocarbon Paleolithic European Database v18.
RADON	Online database	Literature review	RADO.NB (incl. RADON and RADON-B)	https://radonb.ufg.uni-kiel.de/	1999	Northern Europe; Western Europe; Southern Europe; Eastern Europe	Europe	Neolithic to Early Iron Age	34200	TRUE	CC BY	TRUE	2024	TRUE	FALSE	@Raetzel-Fabian1999; @RADON; @RADONB; @RADO.NB	RADO.NB (2024) is a continuation of RADON (1999) and RADON-B (2013)
NZCD	Online database	Literature review	New Zealand Radiocarbon Database	https://www.waikato.ac.nz/nzcd	2000	Australia and New Zealand	New Zealand	Any	2000	TRUE	NA	FALSE	2002	FALSE	FALSE	@McFadgenEtAl2000	
CANEW	Online database	Literature review	International Central Anatolian Neolithic e-Workshop databases	http://web.archive.org/web/20080509082232/http://www.canew.org/index.html	2001	Southern Europe; Western Asia	Southeast Europe & Anatolia	10,000–5000 cal BC	1000	TRUE	NA	FALSE	2007	FALSE	FALSE	@ReingruberThissen2005; @ReingruberThissen2009	Defunct 2010; continued as 14SEA (2015). Number of dates approximate.
14C-Palaeolithic	Online database	Literature review	Radiocarbon Palaeolithic Europe Database	https://ees.kuleuven.be/geography/projects/14c-palaeolithic/	2002	Northern Europe; Western Europe; Southern Europe; Eastern Europe	Europe	Palaeolithic	17900	TRUE	NA	TRUE	2024	FALSE	FALSE	@Vermeersch2024	
CalPal	Version-controlled repository	Literature review	CalPal database	https://zenodo.org/doi/10.5281/zenodo.7215741	2002	NA	Global	Any	49800	TRUE	NA	TRUE	2020	TRUE	FALSE	@Weninger2022	Main database only accessible via the CalPal software, but a version is mirrored on GitHub (last updated 2020): https://github.com/nevrome/CalPal-Database
CONTEXT	Online database	Literature review	CONTEXT	http://context-database.uni-koeln.de	2002	Western Asia	Southwest Asia	20,000–5000 cal BC	2900	FALSE	All rights reserved	FALSE	2006	FALSE	FALSE	@BohnerSchyle2004	Website no longer functional, but copies exist. Open access but non-open license.
PIDBA	Online database	Literature review	Paleoindian Database of the Americas	http://pidba.utk.edu/dating.htm	2003	Northerhn America; South America	North and South America	Palaeolithic	1300	TRUE	NA	FALSE	2010	FALSE	FALSE	@AndersonEtAl2010	
AustArch	Published dataset	Literature review	AustArch (1, 2, and 3)	https://archaeologydataservice.ac.uk/archives/view/austarch_na_2014/	2008	Australia and New Zealand	Australia	Any	5000	TRUE	ADS Terms of Use and Access	FALSE	2014	TRUE	FALSE	@WilliamsEtAl2008; @WilliamsSmith2012; @WilliamsSmith2013	Also includes non-radiocarbon dates
IRDD	Online database	Literature review	Irish Radiocarbon & Dendrochronological Dates	https://sites.google.com/site/chapplearchaeology/irish-radiocarbon-dendrochronological-dates	2010	Northern Europe	Ireland	Any	10700	TRUE	NA	TRUE	2019	TRUE	FALSE	@IRDD	Archived version of the website has the release history: http://web.archive.org/web/20111122220757/https://sites.google.com/site/chapplearchaeology/irish-radiocarbon-dendrochronological-dates/
